"","Age","Gender","Kids","Education","WorkStatus","AnnualIncome","CurrentOccu","CurJobYears","CurJobMonths","CommunitySize","CountryOfRes","MaritalStatus","Sons","Daughters","DP1","DP2","DP3","DP4","DP5","AIP1","AIP2","AIP3","AIP4","AIP5","AIP6","AIP7","AIP8","AIP9","AIP10","AIP11","AIP12","AIP13","AIP14","AIP15","GP1","GP2","GP3","GP4","GP5","GP6","GP7","GP8","GP9","GP10","GP11","GP12","GP13","GP14","GP15","GP16","GP17","GP18","GP19","GP20","SWLS1","SWLS2","SWLS3","SWLS4","SWLS5","YouProcast","OthersThinkU","DPMean","AIPMean","GPMean","SWLSMean"
"1628",45,"Male","No Kids","ma","full-time",150000,"computer consultant",10,0,"Medium-Sized","United States","Married",0,0,1,3,1,1,1,1,2,5,2,2,1,1,4,2,2,1,2,2,2,4,2,1,1,4,1,1,3,1,4,1,1,3,3,1,3,1,1,4,4,4,3,3,2,2,2,"yes","no",1,2.2,2.2,2.4
"1629",45,"Female","No Kids","deg","full-time",45000,"programmer/software analyst",6,1,"Small City","United States","Single",0,0,3,3,4,3,4,2,3,2,4,4,3,3,4,3,3,4,4,5,4,4,4,3,2,3,4,2,4,4,5,4,4,4,3,4,4,5,5,2,4,3,3,2,2,2,2,"yes","yes",3.5,3.46666666666667,3.65,2.2
"1630",45,"Female","No Kids","deg","full-time",35000,"information technology consultant",0,6,"Medium-Sized","United States","Single",0,0,3,3,3,2,2,2,2,4,3,3,3,3,4,3,4,4,3,4,2,4,5,2,3,4,2,2,5,4,3,2,4,3,4,3,4,4,4,4,5,4,1,2,2,1,1,"yes","yes",2.5,3.2,3.55,1.4
"1631",67.5,"Female","No Kids","ltuni","retired",35000,"other",0,0,"Small City","United States","Single",0,0,5,5,2,2,2,3,4,5,5,4,3,5,5,5,5,3,5,3,5,5,5,5,5,1,5,4,5,3,5,1,5,4,4,5,2,4,3,5,5,5,2,2,2,3,1,"yes","yes",3.5,4.33333333333333,4.05,2
"1632",45,"Female","No Kids","deg","retired",15000,"retired",12,0,"Large-City","United States","Married",0,0,4,3,2,2,2,1,1,2,4,3,1,2,3,2,2,2,4,2,4,3,4,2,1,4,4,1,3,2,4,4,3,3,1,2,3,2,2,3,4,2,3,3,4,4,2,"yes","yes",3,2.4,2.7,3.2
"1633",55,"Female","No Kids","phd","full-time",45000,"epidemiologist",23,0,"Small City","United States","Single",0,0,3,2,4,1,1,2,1,2,1,1,1,2,1,1,1,2,1,1,1,4,3,2,1,4,3,2,2,2,2,1,1,4,1,1,1,2,1,2,2,3,3,3,3,3,2,"no","no",2,1.46666666666667,2,2.8
"1634",23,"Female","No Kids","deg","part-time",35000,"office manager",1,6,"Large-City","United States","Single",0,0,3,3,2,2,2,3,3,4,4,3,4,2,4,3,4,4,4,3,3,4,4,4,4,5,4,4,4,3,4,2,4,4,4,4,4,4,4,5,4,4,3,3,3,4,2,"yes","no",2.5,3.46666666666667,3.95,3
"1635",32.5,"Female","Yes Kids","ltuni","full-time",45000,"admin assist",5,0,"Large Town","United States","Married",0,1,4,2,3,2,2,4,2,4,4,2,4,2,3,1,5,2,2,4,1,4,5,1,3,5,5,3,5,3,3,3,3,4,4,3,4,5,4,5,4,5,4,3,3,3,4,"yes","no",3,2.93333333333333,3.85,3.4
"1636",67.5,"Female","No Kids","ltuni","full-time",45000,"self-employed photographer",30,0,"Large-City","United States","Divorced",0,0,3,3,3,2,2,2,3,3,4,4,3,5,4,3,4,2,3,3,4,5,5,3,4,1,3,3,4,3,4,5,4,5,3,3,4,5,4,5,4,4,3,3,3,3,2,"yes","yes",2.5,3.46666666666667,3.8,2.8
"1637",55,"Female","No Kids","deg","full-time",45000,"business owner",17,0,"Medium-Sized","United States","Married",0,0,5,5,5,5,5,1,1,1,5,5,5,5,1,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,1,1,1,1,1,"yes","yes",5,3.93333333333333,4.6,1
"1638",37.5,"Male","Yes Kids","deg","full-time",45000,"warehouse supervisor",1,9,"Small City","United States","Married",0,1,3,3,1,2,3,4,1,5,2,2,2,2,3,3,4,3,1,5,1,2,3,2,5,4,1,3,2,3,4,3,2,2,5,5,4,4,4,4,4,4,1,2,2,1,5,"yes","yes",3,2.66666666666667,3.4,2.2
"1639",20,"Female","No Kids","ltuni","student",NA,"other",0,0,"Large-City","United States","Single",0,0,3,2,2,1,1,1,4,4,4,3,4,5,4,2,5,5,5,3,4,5,4,2,1,5,4,3,3,4,5,4,4,5,2,4,4,3,3,3,4,5,4,5,2,4,3,"yes","yes",2,3.86666666666667,3.6,3.6
"1640",67.5,"Male","No Kids","dip","full-time",35000,"writer",30,0,"Small City","United States","Divorced",0,0,2,2,2,2,1,2,2,3,3,3,1,2,4,3,2,2,4,3,2,2,2,1,4,5,4,2,4,4,4,3,2,4,2,3,4,4,3,4,3,4,2,2,4,3,2,"yes","yes",1.5,2.53333333333333,3.3,2.6
"1641",24,"Female","No Kids","deg","full-time",35000,"server",5,0,"Medium-Sized","United States","Single",0,0,3,3,1,1,1,1,3,5,5,5,1,5,3,3,5,5,5,5,4,5,5,1,1,5,5,5,5,2,5,5,5,5,4,5,3,5,5,5,5,5,1,1,1,2,1,"yes","yes",2,4,4.3,1.2
"1642",55,"Male","Yes Kids","deg","full-time",67500,"director of non-profit organization",8,6,"Small City","United States","Married",3,1,4,4,3,3,3,3,3,4,3,3,2,4,4,3,3,3,3,3,4,4,4,2,3,3,3,3,4,4,4,4,4,4,4,4,4,2,3,4,2,4,3,3,2,4,1,"yes","yes",3.5,3.26666666666667,3.45,2.6
"1643",55,"Male","No Kids","deg","full-time",150000,"insurance",5,0,"Medium-Sized","United States","Married",0,0,4,4,3,3,3,2,1,5,1,1,2,1,3,2,3,3,2,1,1,3,3,2,2,1,3,1,3,4,4,4,1,3,4,4,4,3,4,3,4,3,3,3,3,4,2,"yes","no",3.5,2.06666666666667,3,3
"1644",45,"Female","No Kids","ma","full-time",87500,"sr. drug safety associate",4,2,"Large Town","United States","Divorced",0,0,1,1,1,1,1,2,2,4,3,3,1,2,1,2,2,1,3,1,4,3,3,1,1,1,2,1,3,1,3,1,4,3,2,1,3,1,1,2,1,3,3,4,4,3,2,"yes","no",1,2.26666666666667,1.9,3.2
"1645",45,"Female","No Kids","high","full-time",67500,"electrical technician",14,0,"Large-City","United States","Married",0,0,5,5,5,5,5,2,5,3,5,5,1,5,5,5,5,4,5,5,5,5,5,5,5,5,1,5,5,1,5,5,5,5,3,5,5,1,1,1,5,1,2,2,2,3,3,"yes","yes",5,4.33333333333333,3.7,2.4
"1646",55,"Female","Yes Kids","high","student",45000,"please specify",0,9,"Small Town","United States","Married",2,4,5,5,5,4,4,3,2,5,4,5,5,5,4,4,5,5,3,4,4,5,5,2,3,3,5,4,5,4,5,3,3,3,4,5,5,5,3,5,5,5,3,2,3,4,2,"yes","yes",4.5,4.2,4.1,2.8
"1647",55,"Male","No Kids","deg","full-time",87500,"engineer",17,0,"Medium-Sized","United States","Married",0,0,3,3,3,2,2,1,1,3,1,2,3,2,1,2,3,2,1,2,1,2,3,2,2,4,2,2,3,2,4,1,4,3,1,1,3,3,2,4,3,4,3,3,3,4,3,"yes","no",2.5,1.8,2.65,3.2
"1648",28,"Female","Yes Kids","deg","part-time",15000,"senior staff writer",1,0,"Small City","United States","Married",0,1,5,5,5,5,5,4,4,5,5,5,4,5,5,2,5,4,5,5,5,5,5,5,4,5,5,4,5,5,5,3,4,5,5,3,3,5,5,5,5,3,3,4,3,4,2,"yes","yes",5,4.53333333333333,4.45,3.2
"1649",28,"Male","No Kids","ma","student",10000,"writing consultant",1,0,"Medium-Sized","United States","Single",0,0,3,4,4,4,4,4,2,3,2,3,2,3,5,2,4,4,5,4,2,4,3,2,3,3,5,3,3,4,5,3,3,5,4,4,4,3,3,3,3,4,4,3,4,4,4,"yes","yes",3.5,3.26666666666667,3.5,3.8
"1650",37.5,"Female","Yes Kids","ma","full-time",67500,"nurse",7,0,"Small City","United States","Married",2,1,4,2,3,1,1,1,3,2,5,4,1,4,5,3,5,1,4,3,4,3,3,1,2,2,3,3,3,2,4,3,4,5,1,2,4,3,3,4,4,1,3,4,4,4,4,"yes","no",2.5,3.2,2.85,3.8
"1651",32.5,"Female","Yes Kids","ltuni","full-time",45000,"other",6,0,"Small City","United States","Married",2,0,2,2,1,1,1,1,1,5,2,1,1,1,2,1,1,4,2,5,1,3,2,1,3,3,2,2,2,2,2,1,5,2,5,5,3,5,4,2,4,4,5,5,5,4,4,"yes","no",1.5,2.06666666666667,2.95,4.6
"1652",37.5,"Male","No Kids","deg","full-time",45000,"other",2,2,"Large-City","United States","Single",0,0,3,4,3,3,3,2,2,2,2,3,2,3,3,3,2,2,3,4,3,2,3,2,3,2,3,3,1,3,1,2,3,3,4,4,4,4,3,3,2,3,3,2,3,2,2,"yes","no",3,2.53333333333333,2.8,2.4
"1653",37.5,"Female","No Kids","ma","full-time",55000,"federal excise tax auditor",0,5,"Large-City","United States","Married",0,0,5,4,4,3,3,1,2,3,5,4,3,2,5,4,5,2,3,3,4,3,5,3,2,5,4,2,5,5,5,2,3,5,2,3,5,4,4,5,5,5,3,2,2,2,3,"yes","no",4,3.26666666666667,3.95,2.4
"1654",28,"Male","No Kids","ma","student",15000,"please specify",7,0,"Medium-Sized","United States","Single",0,0,4,4,4,4,4,1,4,5,4,4,5,3,4,4,4,3,5,4,4,4,4,1,5,4,2,4,4,4,4,2,2,4,3,3,4,4,3,4,4,4,3,3,2,2,1,"yes","yes",4,3.86666666666667,3.45,2.2
"1655",32.5,"Female","Yes Kids","dip","full-time",45000,"administrator",4,8,"Large-City","United States","Married",0,1,5,3,5,3,3,2,3,4,5,3,5,3,3,1,4,1,3,3,3,2,4,2,2,5,3,4,3,4,4,3,1,4,2,3,4,3,2,5,4,3,1,2,2,2,1,"yes","yes",4,3,3.25,1.6
"1656",67.5,"Male","Yes Kids","ltuni","retired",NA,"other",0,0,"Medium-Sized","United States","Married",1,2,2,2,2,1,1,1,1,2,3,2,2,2,2,1,3,1,2,1,2,1,3,2,4,1,3,1,2,2,3,2,2,3,2,2,3,4,2,3,3,2,4,4,4,4,2,"no","no",1.5,1.73333333333333,2.45,3.6
"1657",32.5,"Female","No Kids","ma","full-time",45000,"teacher",6,6,"Medium-Sized","United States","Married",0,0,4,2,4,4,4,1,4,3,5,5,5,5,5,5,5,2,5,4,5,5,5,2,2,5,5,3,5,4,5,4,5,4,4,4,4,5,4,5,4,5,4,3,4,5,4,"yes","yes",4,4.26666666666667,4.2,4
"1658",45,"Male","Yes Kids","ltuni","full-time",67500,"web designer",1,4,"Large-City","United States","Married",1,0,2,2,2,2,2,2,1,5,3,2,1,3,3,1,2,3,4,3,2,3,3,1,1,1,3,1,2,2,2,2,3,2,2,2,3,3,2,3,3,4,1,3,2,3,1,"yes","yes",2,2.53333333333333,2.25,2
"1659",55,"Female","Yes Kids","phd","student",45000,"retired/adjunct",1,0,"Small City","United States","Divorced",1,2,5,4,5,4,4,1,1,1,2,4,5,2,4,4,5,2,2,1,2,5,4,2,2,3,3,2,4,3,4,2,3,5,1,2,5,3,3,5,3,1,4,5,4,4,5,"yes","no",4.5,2.73333333333333,3,4.4
"1660",55,"Female","No Kids","ma","full-time",150000,"attorney",14,0,"Large-City","United States","Divorced",0,0,3,2,4,2,2,1,1,3,3,2,3,4,3,1,1,3,2,3,2,3,3,2,2,3,1,1,3,4,3,5,3,3,3,3,4,3,2,4,3,2,3,3,3,3,2,"yes","no",2.5,2.33333333333333,2.85,2.8
"1661",55,"Female","No Kids","deg","full-time",67500,"television director",28,0,"Large-City","United States","Married",0,0,4,2,2,3,3,2,2,5,5,5,5,2,5,1,1,4,5,3,4,4,5,1,1,5,4,4,2,3,5,1,5,5,4,3,5,5,5,5,5,4,1,1,1,3,3,"yes","yes",3.5,3.53333333333333,3.85,1.8
"1662",21,"Female","No Kids","ltuni","student",NA,"other",0,0,"Other","United States","Single",0,0,4,3,3,2,2,1,1,4,2,2,1,3,3,2,4,2,2,4,2,2,2,1,3,2,3,2,3,3,4,2,2,4,1,2,4,3,2,3,4,3,3,3,3,3,2,"yes","yes",3,2.33333333333333,2.65,2.8
"1663",67.5,"Female","No Kids","phd","full-time",67500,"other",30,0,"Large-City","United States","Single",0,0,5,4,4,3,3,2,3,3,4,4,3,4,4,4,4,2,4,2,3,3,5,3,3,2,4,3,4,4,4,3,4,4,4,2,4,3,3,1,4,4,3,4,3,4,2,"yes","yes",4,3.26666666666667,3.4,3.2
"1664",67.5,"Male","Yes Kids","ma","full-time",87500,"other",17,0,"Medium-Sized","United States","Married",2,0,2,1,2,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,2,2,1,1,1,2,1,1,2,2,1,1,2,5,2,2,2,2,2,2,2,3,3,4,4,3,"no","no",1.5,1.26666666666667,1.8,3.4
"1665",37.5,"Male","Yes Kids","phd","full-time",67500,"university faculty",0,8,"Large-City","United States","Married",1,1,2,2,2,2,2,5,3,4,5,5,3,4,5,4,5,5,3,5,3,5,5,4,4,5,5,3,5,2,5,4,4,5,5,4,4,4,5,5,5,5,4,4,4,3,2,"yes","yes",2,4.26666666666667,4.4,3.4
"1666",55,"Male","Yes Kids","phd","full-time",150000,"other",28,0,"Large-City","United States","Married",1,1,2,2,1,1,1,1,2,5,3,2,1,1,4,1,3,4,4,3,2,3,5,1,1,4,1,3,4,2,3,3,3,3,4,4,4,1,1,4,3,4,4,5,4,5,2,"no","no",1.5,2.6,2.9,4
"1667",37.5,"Female","Yes Kids","deg","unemployed",NA,"home maker",3,0,"Medium-Sized","United States","Married",0,3,3,4,3,4,3,4,5,5,4,4,4,4,4,2,4,5,5,4,4,3,4,2,4,4,2,4,4,3,4,4,5,3,5,5,5,4,3,4,4,4,3,3,3,4,3,"yes","yes",3,4.06666666666667,3.85,3.2
"1668",32.5,"Male","No Kids","ma","full-time",150000,"engineer",10,0,"Large-City","United States","Single",0,0,4,4,4,4,4,2,3,4,4,4,3,5,3,3,3,5,5,5,4,4,4,2,5,5,1,4,3,5,4,4,5,4,5,4,4,4,4,4,4,4,3,3,2,3,4,"yes","yes",4,3.8,3.95,3
"1669",19,"Female","No Kids","ltuni","part-time",15000,"stocker",1,9,"Large Town","United States","Single",0,0,3,4,3,3,3,4,2,5,3,3,4,5,4,3,3,3,4,4,4,4,4,3,2,4,4,4,4,4,5,1,4,3,4,3,4,4,4,4,5,3,3,3,4,3,2,"yes","yes",3,3.66666666666667,3.65,3
"1670",24,"Male","No Kids","deg","student",10000,"please specify",NA,0,"Large-City","United States","Single",0,0,3,4,2,2,2,1,3,5,5,2,4,2,5,2,4,4,5,3,5,2,5,1,2,3,2,3,3,3,4,2,4,4,3,2,5,2,3,5,5,5,3,3,3,3,2,"yes","no",2.5,3.46666666666667,3.3,2.8
"1671",24,"Female","No Kids","deg","part-time",25000,"other",1,0,"Other","United States","Single",0,0,2,3,3,2,1,1,2,3,3,2,2,2,3,1,3,2,3,3,2,1,3,2,3,3,3,3,3,3,4,3,3,3,3,3,4,4,2,3,2,3,3,3,4,3,3,"yes","no",1.5,2.2,3,3.2
"1672",23,"Female","No Kids","deg","student",25000,"please specify",0,7,"Medium-Sized","United States","Single",0,0,4,4,5,2,2,1,1,1,5,1,4,5,4,1,3,1,4,1,5,1,5,1,1,2,3,1,3,4,4,1,4,5,1,1,5,3,2,3,4,2,4,4,5,5,5,"yes","yes",3,2.53333333333333,2.75,4.6
"1673",28,"Female","No Kids","deg","student",25000,"research assistant",2,10,"Large-City","United States","Single",0,0,4,4,5,5,5,1,1,3,2,5,3,4,4,1,4,2,1,3,1,5,5,2,4,4,3,4,5,5,5,1,4,5,3,2,4,2,4,5,5,5,2,3,2,2,3,"yes","yes",4.5,2.66666666666667,3.85,2.4
"1674",67.5,"Female","Yes Kids","deg","retired",NA,"other",0,0,"Small City","United States","Married",0,1,4,4,5,2,3,2,1,4,2,2,2,2,2,2,2,3,1,5,2,1,4,3,1,1,2,4,4,4,3,2,2,3,3,3,3,3,2,3,4,3,3,3,3,3,2,"yes","yes",3.5,2.2,2.85,2.8
"1675",32.5,"Female","No Kids","phd","full-time",55000,"college professor",5,0,"Small City","United States","Married",0,0,2,3,2,2,2,1,1,2,2,2,1,3,3,2,3,4,1,3,1,3,3,1,1,1,2,3,3,3,3,2,2,4,1,3,4,4,3,4,4,2,3,3,4,4,4,"no","no",2,2.13333333333333,2.65,3.6
"1676",23,"Female","No Kids","ltuni","part-time",10000,"it assistant",2,0,"Small Town","United States","Single",0,0,4,2,4,3,3,2,3,1,5,4,1,5,3,2,4,4,5,2,5,5,3,3,3,4,5,4,4,3,3,4,4,3,2,4,1,4,5,2,4,4,4,3,4,3,5,"yes","yes",3.5,3.4,3.45,3.8
"1677",22,"Female","No Kids","deg","full-time",45000,"engineer",0,8,"Large-City","United States","Single",0,0,3,1,2,2,2,1,5,5,5,3,3,2,5,4,4,1,4,2,2,2,4,1,2,5,1,1,3,2,4,3,4,3,1,1,4,2,2,4,3,4,4,2,3,3,3,"yes","no",2.5,3.2,2.7,3
"1678",25,"Male","No Kids","ma","student",25000,"please specify",2,6,"Large-City","United States","Single",0,0,2,3,1,1,1,2,1,2,2,4,2,3,3,2,4,2,2,3,2,3,5,1,2,5,2,2,3,3,4,1,2,4,2,2,4,3,1,4,4,4,2,2,3,4,4,"yes","yes",1.5,2.46666666666667,2.9,3
"1679",80,"Male","No Kids","deg","retired",67500,"anthropologist",30,0,"Large-City","United States","Married",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,5,1,1,4,2,1,5,1,1,5,1,1,2,1,1,1,4,5,5,1,2,"no","no",1,1.06666666666667,1.85,3.4
"1680",28,"Female","No Kids","ma","full-time",35000,"environmental analyst",1,8,"Small City","United States","Single",0,0,2,4,4,3,3,1,1,5,1,1,1,1,3,1,4,2,2,3,1,2,4,2,2,4,4,3,3,5,4,1,3,3,5,4,3,3,2,3,3,3,3,3,3,3,3,"yes","yes",2.5,1.93333333333333,3.2,3
"1681",NA,"Other",NA,"Other","Other",NA,"other",NA,NA,"Other","Other","Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1682",25,"Female","No Kids","ltuni","full-time",25000,"please specify",1,0,"Large Town","United States","Single",0,0,1,1,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,3,3,4,5,4,"yes","yes",3,1,1.2,3.8
"1683",45,"Female","No Kids","deg","full-time",150000,"operations manager",4,0,"Large Town","United States","Married",0,0,3,4,1,2,2,2,4,3,4,4,4,4,4,4,4,3,4,3,5,3,3,2,3,3,2,2,3,3,4,4,3,5,4,4,4,3,2,3,3,3,3,3,4,4,3,"yes","yes",2.5,3.66666666666667,3.15,3.4
"1684",45,"Female","No Kids","ma","full-time",250000,"attorney",10,5,"Large-City","United States","Married",0,0,4,4,4,3,3,1,1,2,1,3,2,2,4,3,3,2,1,2,1,3,3,3,2,4,2,2,5,3,5,1,2,5,1,2,4,4,3,4,5,4,4,4,5,4,2,"yes","yes",3.5,2.06666666666667,3.2,3.8
"1685",24,"Female","No Kids","deg","student",10000,"tutor",1,6,"Large-City","United States","Single",0,0,3,3,3,2,2,1,2,2,4,3,1,4,2,4,4,1,4,1,4,3,4,2,1,5,2,1,4,4,5,2,2,5,4,2,4,3,2,2,3,4,3,4,4,5,2,"yes","no",2.5,2.66666666666667,3.05,3.6
"1686",20,"Male","No Kids","ltuni","student",10000,"other",0,0,"Small City","United States","Single",0,0,4,4,4,3,3,2,3,3,4,3,4,4,3,2,4,3,5,3,2,4,4,4,3,4,4,2,4,4,3,2,3,3,3,3,4,4,4,3,3,3,2,3,3,2,1,"yes","yes",3.5,3.26666666666667,3.35,2.2
"1687",80,"Female","Yes Kids","ltuni","retired",NA,"retired",0,0,"Small City","United States","Widowed",1,1,4,4,2,3,2,2,1,2,2,3,4,4,4,3,4,2,2,2,3,3,3,4,2,2,2,1,3,2,3,1,3,4,2,2,4,4,2,4,3,4,2,2,2,2,4,"yes","yes",3,2.73333333333333,2.75,2.4
"1688",55,"Male","Yes Kids","phd","full-time",87500,"attorney",28,0,"Small City","United States","Divorced",1,1,4,3,4,3,3,2,2,5,5,3,3,4,4,2,2,4,3,4,4,3,4,3,3,3,3,3,3,4,4,4,4,4,3,4,4,4,4,5,4,5,3,3,4,4,2,"yes","no",3.5,3.33333333333333,3.75,3.2
"1689",24,"Male","No Kids","ma","student",15000,"laboratory technician",2,0,"Large-City","United States","Married",0,0,5,5,2,4,4,3,2,2,3,5,4,5,5,4,5,3,4,5,3,4,4,1,3,5,2,5,5,4,4,2,5,5,4,5,4,3,4,5,4,4,2,2,3,1,1,"yes","yes",4.5,3.8,3.9,1.8
"1690",45,"Male","No Kids","deg","unemployed",10000,"other",0,0,"Small City","United States","Married",0,0,4,4,3,2,2,4,5,5,4,5,2,5,5,4,5,3,5,3,4,5,5,2,4,4,4,4,5,3,5,5,5,5,4,4,4,5,3,5,5,5,2,3,2,3,1,"yes","yes",3,4.26666666666667,4.3,2.2
"1691",45,"Male","Yes Kids","phd","full-time",67500,"scientist",6,2,"Medium-Sized","United States","Married",1,1,3,4,3,3,3,1,1,3,3,3,3,3,3,3,4,3,3,2,2,4,4,2,2,2,3,2,3,3,4,2,2,4,2,3,4,3,3,4,4,3,3,3,3,2,2,"yes","yes",3,2.73333333333333,2.95,2.6
"1692",32.5,"Female","No Kids","phd","student",NA,"post grad physician",1,0,"Large-City","United States","Married",0,0,3,3,3,3,3,2,3,3,4,3,4,5,3,3,3,2,2,2,4,5,5,2,1,4,4,5,3,4,5,4,3,3,2,3,4,4,3,4,4,4,3,3,2,3,1,"yes","yes",3,3.2,3.55,2.4
"1693",37.5,"Female","Yes Kids","ma","full-time",150000,"ceo",1,0,"Large-City","United States","Married",1,0,2,3,2,2,2,1,2,5,4,5,5,5,5,5,5,2,3,5,3,5,1,4,2,2,3,3,5,1,5,1,5,5,1,3,5,4,4,5,5,5,3,5,2,2,2,"yes","yes",2,4,3.45,2.8
"1694",37.5,"Female","Yes Kids","deg","unemployed",150000,"other",0,0,"Large-City","United States","Married",1,1,3,3,2,2,2,1,1,5,4,3,1,2,4,4,3,2,3,3,3,3,3,1,4,5,2,4,4,3,3,4,4,4,3,4,3,5,3,3,4,3,4,4,4,5,3,"yes","no",2.5,2.8,3.45,4
"1695",67.5,"Male","Yes Kids","ma","retired",25000,"other",0,0,"Small Town","United States","Divorced",0,2,2,3,4,3,4,3,4,4,4,4,4,4,4,4,4,2,4,3,4,4,4,3,3,4,3,3,4,3,4,2,2,4,3,3,3,4,4,3,4,3,2,2,2,2,2,"yes","yes",3,3.73333333333333,3.3,2
"1696",55,"Female","Yes Kids","deg","part-time",87500,"writer/musician",14,0,"Medium-Sized","United States","Married",1,1,3,3,3,2,3,1,1,2,3,3,2,3,4,3,4,3,1,4,1,4,4,3,3,4,3,3,3,4,3,3,4,3,2,3,4,4,4,4,4,3,3,4,4,3,2,"yes","no",3,2.6,3.4,3.2
"1697",67.5,"Male","Yes Kids","ltuni","unemployed",55000,"engineer",23,0,"Other","United States","Married",1,1,3,2,2,2,2,1,1,4,2,2,2,2,2,2,2,3,1,2,1,3,3,2,3,2,3,2,3,2,3,1,2,2,3,3,2,4,2,3,3,3,2,2,2,4,2,"no","no",2.5,2,2.55,2.4
"1698",55,"Male","Yes Kids","ltuni","student",15000,"please specify",NA,0,"Small City","United States","Divorced",2,2,1,2,1,2,2,2,1,5,3,1,2,1,5,1,1,1,2,2,1,1,1,1,5,4,1,4,1,1,1,1,5,1,1,2,1,3,1,5,1,5,2,1,1,2,1,"no","no",1.5,1.93333333333333,2.25,1.4
"1699",21,"Female","No Kids","ltuni","student",NA,"other",0,0,"Medium-Sized","United States","Single",0,0,5,5,5,4,4,2,4,3,2,4,4,4,3,5,5,2,3,3,4,4,4,4,3,5,1,2,2,3,4,3,1,5,2,4,4,4,4,5,5,4,2,4,4,2,1,"yes","yes",4.5,3.46666666666667,3.45,2.6
"1700",28,"Female","No Kids","deg","full-time",45000,"teacher",4,0,"Large-City","United States","Single",0,0,5,5,5,3,3,2,4,3,5,2,5,4,5,2,4,5,5,4,4,5,5,3,4,5,5,5,5,5,5,5,5,5,4,4,5,3,3,5,5,3,2,3,2,3,1,"yes","yes",4,3.93333333333333,4.45,2.2
"1701",20,"Female","No Kids","ltuni","student",NA,"other",0,0,"Other","United States","Single",0,0,3,3,4,1,1,2,1,2,1,2,4,2,4,1,1,2,2,3,1,2,3,1,3,2,5,3,4,4,3,1,1,4,3,3,5,4,1,4,3,4,2,3,3,3,1,"yes","yes",2,2,3.05,2.4
"1702",37.5,"Male","Yes Kids","ma","full-time",55000,"pastor ; life coach  clergy",10,0,"Medium-Sized","United States","Married",1,1,5,4,3,4,4,2,2,5,4,5,4,4,5,5,5,2,4,3,3,4,4,4,5,3,5,2,4,4,5,3,2,5,4,4,5,5,5,5,4,5,2,2,4,4,1,"yes","yes",4.5,3.8,4.15,2.6
"1703",28,"Female","No Kids","ma","student",25000,"please specify",6,0,"Medium-Sized","United States","Single",0,0,3,3,3,2,2,2,2,3,2,3,2,4,4,3,4,3,2,2,2,2,4,2,3,4,3,2,4,3,4,2,2,4,2,3,4,3,2,4,4,2,3,3,3,3,3,"yes","yes",2.5,2.66666666666667,3.05,3
"1704",45,"Female","Yes Kids","ma","Other",150000,"home maker",7,0,"Medium-Sized","United States","Married",2,0,5,5,3,2,3,4,3,2,5,5,5,5,5,4,4,4,5,4,5,5,5,5,2,5,5,5,5,3,5,4,5,3,5,4,4,3,3,5,5,5,3,4,3,5,3,"yes","yes",4,4.33333333333333,4.3,3.6
"1705",28,"Female","No Kids","ma","student",NA,"please specify",3,0,"Small City","United States","Single",0,0,5,2,5,3,3,1,3,2,4,2,4,3,5,1,5,1,4,2,5,1,5,1,3,5,3,1,4,4,5,4,5,5,5,4,5,5,5,5,2,4,5,5,5,5,5,"yes","yes",4,2.86666666666667,4,5
"1706",32.5,"Female","No Kids","phd","full-time",87500,"scientist",1,0,"Medium-Sized","United States","Married",0,0,3,2,4,2,2,1,1,1,3,2,3,2,4,2,2,4,2,4,2,3,3,2,3,4,2,2,2,4,3,2,3,2,2,2,4,3,2,2,3,4,4,4,4,3,3,"no","no",2.5,2.4,2.7,3.6
"1707",37.5,"Female","No Kids","ma","part-time",25000,"research / gis analyst",7,3,"Medium-Sized","United States","Married",0,0,4,4,3,3,3,1,1,4,3,2,3,4,4,2,4,5,2,4,2,2,3,2,2,3,4,4,4,3,5,2,4,3,2,4,4,2,1,4,4,5,4,4,4,4,3,"yes","yes",3.5,2.86666666666667,3.25,3.8
"1708",45,"Male","No Kids","deg","part-time",25000,"musician",NA,0,"Large-City","United States","Married",0,0,5,5,2,2,2,5,3,2,3,2,4,4,5,1,4,4,4,2,3,3,4,2,4,5,2,3,3,3,4,2,4,4,5,3,5,2,3,5,4,4,3,4,3,2,3,"yes","yes",3.5,3.26666666666667,3.55,3
"1709",67.5,"Male","Yes Kids","ma","full-time",67500,"environmental education non profit direc",30,0,"Rural/Country","United States","Married",2,2,2,1,1,1,1,1,1,2,3,1,5,1,1,1,2,4,2,3,3,2,3,1,1,1,1,1,1,1,1,3,3,3,1,2,1,1,1,2,1,1,5,5,5,5,5,"no","no",1.5,2.13333333333333,1.5,5
